리뷰,음식유형,리뷰2,리뷰3,리뷰4,label,토큰화된리뷰
작년 월에 붓카케 우동 먹었을때보다 형편없었습니다우동 겉면은 퍼졌고 안은 덜익어서 밀가루 냄새나고 전혀 쫄깃한 맛도 없고 두번다시 안갈겁니다 일부러 울산까지 왔더니 맛이변했네요 ㅠㅠ,일식,"['없다', '없다', '변하다']",없다 없다 변하다,없다 없다 변하다,0,"[3, 3, 46]"
초밥  좋아하시는 분싫어하시는 분도 맛나게 먹을수 있어요추천합니다,일식,"['좋아하다', '싫어하다', '있다', '천하다']",좋아하다 싫어하다 있다 천하다,좋아하다 싫어하다 있다 천하다,0,"[23, 118, 4, 217]"
주위에 다른가게가 없어서 조용하고 야외에사 식가하기도 좋았어요 다만 테이블수에 비해 주차장이 너무 좁아서 불편했어요,양식,"['없다', '조용하다', '좋다', '좁다', '불편하다']",없다 조용하다 좋다 좁다 불편하다,없다 조용하다 좋다 좁다 불편하다,0,"[3, 58, 2, 72, 13]"
양도 많고 너무 맛있게 잘 먹었습니다,한식,"['많다', '맛있다']",많다 맛있다,많다 맛있다,1,"[8, 1]"
무제한 수제비가 엄청 써요 씹을수록 더 쓴맛무제한 할필요 없을듯들어가자마자 바쁜기색이 역력하며 불친절하게 예약손님이 있어서  분까지 먹어야 한다고 안되시면 식사 안된다고 앵무새처럼 이야기함 말한마디가 천냥빚을 갚는다는말이 묵상되는 순간이었음ㅋㅋ 말이라도 죄송한데 이러하니 이런데 괜찮으실까요가 아님ㅋㅋ  ,한식,"['없다', '바쁘다', '불친절하다', '있다', '안되다', '안되다', '죄송하다', '이러하다', '이렇다', '괜찮다', '아니다']",없다 바쁘다 불친절하다 있다 안되다 안되다 죄송하다 이러하다 이렇다 괜찮다 아니다,없다 바쁘다 불친절하다 있다 안되다 안되다 죄송하다 이러하다 이렇다 괜찮다 아니다,0,"[3, 22, 14, 4, 19, 19, 48, 37, 17, 6]"
엄청 맛있고가성비가 좋아요,일식,"['맛있다', '좋다']",맛있다 좋다,맛있다 좋다,1,"[1, 2]"
변함없는 최고의 맛아침에 나름 빨리 왔는데도 거의 만석이네요인기 짱입니다,양식,"['변하다', '없다', '이다']",변하다 없다 이다,변하다 없다 이다,0,"[46, 3, 11]"
매장도 깔끔하고 맛도 좋습니다 제로콜라도 있구요,일식,"['깔끔하다', '좋다', '있다']",깔끔하다 좋다 있다,깔끔하다 좋다 있다,1,"[15, 2, 4]"
편하게 식사할 수 있어서 좋았습니다잘먹었어요,양식,"['편하다', '있다', '좋다']",편하다 있다 좋다,편하다 있다 좋다,1,"[21, 4, 2]"
아이들이랑 백화점왔다가 방문했는데맛있어요,일식,['맛있다'],맛있다,맛있다,1,[1]
맛있어요,카페,['맛있다'],맛있다,맛있다,1,[1]
음식은 역시 맛났어요서비스도 역시 최고구요준비해달라는거 잘 챙겨주시고 치워주시고근데 주방 앞이어서 너무너무 시끄러웟어요 ㅠㅠ다음엔 꼭 그 자리 배정해주시면 바꿔야겠어요,양식,['시끄럽다'],시끄럽다,시끄럽다,0,[29]
