리뷰,음식유형,리뷰2,리뷰3,리뷰4,label,리뷰5,new리뷰,토큰화된리뷰
매콤달콤고소하니 동동주맛좋습니다,한식,"['고소하다', '좋다']",고소하다 좋다,고소하다 좋다,1,"['고소하다', '좋다']","['고소하다', '좋다']","[59, 2]"
아이랑 가기 너무 좋았어요 음식도 맛있었고 너무 친절해요,양식,"['좋다', '맛있다', '친절하다']",좋다 맛있다 친절하다,좋다 맛있다 친절하다,1,"['좋다', '맛있다', '친절하다']","['좋다', '맛있다', '친절하다']","[2, 1, 7]"
언제나 늘 친절하셔서  맛나게 먹고 왔어요 시음하는 와인도 좋았구요아이들이 무척좋아해요특별한 날이면 무조건 가는곳어제는 결혼기념일월에 공주생일날  또  갑니당,양식,"['친절하다', '좋다', '좋아하다', '특별하다']",친절하다 좋다 좋아하다 특별하다,친절하다 좋다 좋아하다 특별하다,1,"['친절하다', '좋다', '좋아하다', '특별하다']","['친절하다', '좋다', '좋아하다', '특별하다']","[7, 2, 23, 33]"
맛은 나쁘지  않아요맑은날 갔으면 창밖이 이쁠꺼 같아요아쉬운건 직원이 조금 불친절,한식,"['나쁘다', '이쁘다', '같다', '아쉽다']",나쁘다 이쁘다 같다 아쉽다,나쁘다 이쁘다 같다 아쉽다,0,"['나쁘다', '이쁘다', '같다', '아쉽다']","['나쁘다', '이쁘다', '같다', '아쉽다']","[18, 32, 5, 10]"
음식도 많이없고가격에 비해 ㅠㅠ,일식,['없다'],없다,없다,0,['없다'],['없다'],[3]
창가자리 앉았는데 파리가 너무 많아서 좀 그랬어요ㅠ,카페,"['많다', '그렇다']",많다 그렇다,많다 그렇다,1,"['많다', '그렇다']","['많다', '그렇다']","[8, 12]"
별점 점도 아까움   기본적인 시설도 안해두고 장사하는곳  최악이다   환기안되서  가게가 연기로 가득한정도가아니고 화생방수준이며  여름에 폭염인데도  에어컨한대커녕 선풍기한대도 없음 음식점도 서비스업인데 최소한의  서비스도 갖추지않고  장사하는곳   거기다 직원들 불친절하고 두번다신 오고싶지않다  주변에도 최악이라고 알려주고싶을정도다,한식,"['아깝다', '안되다', '가득하다', '아니다', '없다', '불친절하다']",아깝다 안되다 가득하다 아니다 없다 불친절하다,아깝다 안되다 가득하다 아니다 없다 불친절하다,0,"['아깝다', '안되다', '가득하다', '아니다', '없다', '불친절하다']","['아깝다', '안되다', '가득하다', '아니다', '없다', '불친절하다']","[20, 19, 114, 6, 3, 14]"
와 정말 맛있어요 특히 세트구성이 너무 알차다는 가족끼리 왔는데 어느 것 하나빠지지 않고 맛있게 잘 먹고 있습니다,일식,"['맛있다', '알차다', '맛있다', '있다']",맛있다 알차다 맛있다 있다,맛있다 알차다 맛있다 있다,1,"['맛있다', '알차다', '맛있다', '있다']","['맛있다', '알차다', '맛있다', '있다']","[1, 141, 1, 4]"
깔끔하고  맛나요명이 배불리 먹고가요,양식,['깔끔하다'],깔끔하다,깔끔하다,1,['깔끔하다'],['깔끔하다'],[15]
맛도 괜찮고 양도 많고 서비스도 엄청 푸짐하게 주시네요,한식,"['괜찮다', '많다']",괜찮다 많다,괜찮다 많다,1,"['괜찮다', '많다']","['괜찮다', '많다']","[17, 8]"
음식이맛있어요,양식,['맛있다'],맛있다,맛있다,1,['맛있다'],['맛있다'],[1]
첫방문인데 너무 맛잇게 잘 먹었습니다 ㅎㅎ직원분들도 친절하시고 다음에 또 올 거 같아요,한식,"['친절하다', '같다']",친절하다 같다,친절하다 같다,1,"['친절하다', '같다']","['친절하다', '같다']","[7, 5]"
맛있게 먹기 좋은것 같았습니다,양식,"['맛있다', '좋다', '같다']",맛있다 좋다 같다,맛있다 좋다 같다,1,"['맛있다', '좋다', '같다']","['맛있다', '좋다', '같다']","[1, 2, 5]"
좋아요,카페,['좋다'],좋다,좋다,1,['좋다'],['좋다'],[2]
직원도 친절하고 음식도 맛나요,양식,['친절하다'],친절하다,친절하다,1,['친절하다'],['친절하다'],[7]
생각날때마다 오는데 역시 맛집이에요샐러드 맛집 종류도 다양한데 맛도 있어요특히 목살스테이크가 제일 맛있는거같아요파스타는 매콤까르보나라 알리오올리오가정말 맛있더라고요 역시 믿고 오는곳,양식,"['다양하다', '있다', '맛있다', '같다', '맛있다']",다양하다 있다 맛있다 같다 맛있다,다양하다 있다 맛있다 같다 맛있다,1,"['다양하다', '있다', '맛있다', '같다', '맛있다']","['다양하다', '있다', '맛있다', '같다', '맛있다']","[30, 4, 1, 5, 1]"
